id,text,anger,disgust,fear,joy,sadness,surprise,emotions,lang,split,neutral
eng_train_track_a_02736,"i tilt my head down to examine the bottom of the glass to see that there is a large, open terrain where the gash does not touch.",0,0,0,0,0,1,['surprise'],eng,train,0
eng_train_track_a_00569,my sleepy head forced me to sleep and my eyelids felt very heavy that i had to surrender and doze off.,0,0,0,0,0,0,[],eng,train,0
eng_train_track_a_02147,"i was okay, though it was hot when it landed at on my arm.",0,0,0,0,0,0,[],eng,train,0
eng_train_track_a_01642,"my left clav essentially blew up, but it didn't stop there.",0,0,1,0,0,1,['fear' 'surprise'],eng,train,0
eng_train_track_a_02206,"there was the shock of all my teeth on the bottom being pushed so out of whack i needed oral surgery and oh year, my jaw was broken.",1,0,1,0,1,1,['anger' 'fear' 'sadness' 'surprise'],eng,train,0
eng_train_track_a_02486,kinda got stuck in my mouth!,0,0,1,0,0,1,['fear' 'surprise'],eng,train,0
eng_train_track_a_01195,i pulled a shard of bone out of my mouth.,0,0,1,0,0,0,['fear'],eng,train,0
eng_train_track_a_00231,it was funny because i thought i broke my arm.,0,0,1,1,0,1,['fear' 'joy' 'surprise'],eng,train,0
eng_train_track_a_01196,"by sharlyn guthrie from the sea fate called to me, harmless ` round my ankles danced.",0,0,0,1,0,0,['joy'],eng,train,0
eng_train_track_a_00668,"my parents kept yelling while i walked into the living room and started watching tv, knife still protruding from my lung.",1,0,1,0,1,1,['anger' 'fear' 'sadness' 'surprise'],eng,train,0
eng_train_track_a_00756,she said she wasn't going to be at school for at least a week.,0,0,1,0,0,1,['fear' 'surprise'],eng,train,0
eng_train_track_a_02062,charlie was so crazy!,0,0,0,1,0,1,['joy' 'surprise'],eng,train,0
eng_train_track_a_00921,"blah i want my head to stop hurting, and my eyes to start tearing up but i do nt see any of these things happening soon.",0,0,1,0,1,0,['fear' 'sadness'],eng,train,0
eng_train_track_a_01303,"warmth, acrossed my cheek from golden rays.",0,0,0,1,0,0,['joy'],eng,train,0
eng_train_track_a_01973,which means i have a ton of extra time on my hands.,0,0,0,1,0,0,['joy'],eng,train,0
eng_train_track_a_01045,and found myself giggling that every day at the same time (3:15) jesus would sign into the guest register.,0,0,0,1,0,1,['joy' 'surprise'],eng,train,0
eng_train_track_a_02207,"tall, pale, skinny, great body.",0,0,0,1,0,0,['joy'],eng,train,0
eng_train_track_a_01010,"there was nothing else of mine in her belongings, and i stood up and dusted my hands off.",0,0,0,1,0,0,['joy'],eng,train,0
eng_train_track_a_00670,i will probably die never knowing more of him.,0,0,1,0,1,0,['fear' 'sadness'],eng,train,0
eng_train_track_a_02218,"why people remember what they remember, why they forget what they forget for now just introduce her to familiar situations gently. shankar said in a hard, warning tone, before adding in sympathy, and hope for the best. logan sighed, rubbing his temples in sudden exhaustion, despite the fact it was only just now creeping up on midnight.",0,0,1,0,1,0,['fear' 'sadness'],eng,train,0
eng_train_track_a_00536,"i was aghast but attempted to help her, so as not to tear the dress or hurt my arms.",0,0,1,0,0,0,['fear'],eng,train,0
eng_train_track_a_01617,"they played the majority of the classics thank god, and i screamed my heart out which is why i have no voice right now.",0,0,0,1,0,0,['joy'],eng,train,0
eng_train_track_a_00019,"not only was i not able to move, i smacked my head against the guy sitting in front me and things just got awkward.",1,0,1,0,0,0,['anger' 'fear'],eng,train,0
eng_train_track_a_00874,"and here in edinburgh, through this journey of mine, it has been right at my side, in my hand.",0,0,0,1,0,0,['joy'],eng,train,0
eng_train_track_a_02657,"in between extremely difficult contractions as i was bent over to let the epiduralist do his work with a minimum of motion from me, i asked veikko to repeat `` you are not dying '' to me, because it really felt like my brain believed that despite all logic.",0,0,1,0,1,0,['fear' 'sadness'],eng,train,0
eng_train_track_a_02528,"it seems to me lately a cloud, cruel, innately has taken up residence in my head.",0,0,1,0,1,0,['fear' 'sadness'],eng,train,0
eng_train_track_a_02199,"however untrue i know this is intellectually -- for i still have family in indiana, aunts, uncles, cousins, and my grandfather lucas, who is still alive and kickin ' -- i still can not ignore this damned shade that keeps popping up over my shoulder and whisper's my worst fear: `` alone. ''",0,0,1,0,1,0,['fear' 'sadness'],eng,train,0
eng_train_track_a_00038,i don't stop.,0,0,1,0,0,0,['fear'],eng,train,0
eng_train_track_a_01074,"all-in-all i had a great time, my back didn't kill me, and i felt great after the game was over.",0,0,0,1,0,0,['joy'],eng,train,0
eng_train_track_a_01280,"not too long after my family left, a guy came in to hook me up to yet another machine briefly to check my breathing which proved to be labored but not dangerously slow ( a nurse came in later a gave me a little toy thing to exercise my lungs which helped a bit ) and another couple guys came in to take an x-ray of my lungs.",0,0,1,0,0,0,['fear'],eng,train,0
eng_train_track_a_01982,"navy, air traffic controller.",0,0,0,0,0,0,[],eng,train,0
eng_train_track_a_02475,"""perhaps i'll alter the whole thing.",0,0,0,1,0,1,['joy' 'surprise'],eng,train,0
eng_train_track_a_00820,please feel free to comment any questions,0,0,0,1,0,0,['joy'],eng,train,0
eng_train_track_a_00864,"i just cracked my head into a glass door.a delivery person, instead of calling me and saying `` i've got a package. ''",1,0,1,0,0,0,['anger' 'fear'],eng,train,0
eng_train_track_a_02404,west hollywood is a creepy fucking place to live.,1,0,1,0,0,1,['anger' 'fear' 'surprise'],eng,train,0
eng_train_track_a_01369,it would be her first great grandchild.,0,0,0,1,0,1,['joy' 'surprise'],eng,train,0
eng_train_track_a_01396,"things were great for awhile, everything was perfect.",0,0,0,1,0,0,['joy'],eng,train,0
eng_train_track_a_00623,"and i said, `` hey wait a second, one of the songs titles sounds familiar... `` after months of wracking my brain, i have the title and song itself.",0,0,0,1,0,1,['joy' 'surprise'],eng,train,0
eng_train_track_a_00716,then she told me it might be due to the new birth control pills she started soon after i left.,0,0,1,0,1,1,['fear' 'sadness' 'surprise'],eng,train,0
eng_train_track_a_00029,now when i have too much to do my brain just gets distracted by all the other jobs jostling for attention.,0,0,1,0,0,0,['fear'],eng,train,0
eng_train_track_a_00041,"and i got ta tell you right here folks, that brings a tear to my eye.",0,0,0,1,1,0,['joy' 'sadness'],eng,train,0
eng_train_track_a_00230,"staring down at the device, i felt this cold chill start at the base of my neck and spread throughout my body.",0,0,1,0,0,1,['fear' 'surprise'],eng,train,0
eng_train_track_a_01159,the next day i got a tetanus shot.,0,0,1,0,0,0,['fear'],eng,train,0
eng_train_track_a_01567,"tears spilled onto my cheeks, and i let myself rest in the pain.",0,0,1,0,1,0,['fear' 'sadness'],eng,train,0
eng_train_track_a_02463,unfortunately my mum decided to clear out his old room and she found them.,0,0,1,0,1,1,['fear' 'sadness' 'surprise'],eng,train,0
eng_train_track_a_01268,it was so fucking weird.,0,0,1,0,0,1,['fear' 'surprise'],eng,train,0
eng_train_track_a_01511,i realized i was now down to my last 20 pound note and some coins ( which i have yet to figure out ) so i decided to keep my eye open for an atm.,0,0,1,0,0,0,['fear'],eng,train,0
eng_train_track_a_00444,he ran outside with it to find this man at the bottom of our driveway.,0,0,1,0,0,1,['fear' 'surprise'],eng,train,0
eng_train_track_a_02552,"*  in trying to include new mother in law into the wedding festivities, i invited her to pick out the flower girl dress for her granddaughter (her other son's daughter).",0,0,0,1,0,0,['joy'],eng,train,0
eng_train_track_a_00885,"`` i zip up the tote back quickly, throw it onto my shoulder and grab up the other, larger bag.",0,0,0,1,0,0,['joy'],eng,train,0
eng_train_track_a_00311,"we all refer to it as the witch scream, and to this day i have no idea what made it.",0,0,1,0,0,1,['fear' 'surprise'],eng,train,0
eng_train_track_a_02464,he was discharged from the army as well.,0,0,0,0,1,0,['sadness'],eng,train,0
eng_train_track_a_02328,i again told myself to wake up.,0,0,1,0,1,0,['fear' 'sadness'],eng,train,0
eng_train_track_a_00098,my eyes welled up with tears and my voice cracked.,0,0,1,0,1,0,['fear' 'sadness'],eng,train,0
eng_train_track_a_00999,almost at the instant that the first drop of sweat popped out on my head i had the weirdest experience.,0,0,1,0,0,1,['fear' 'surprise'],eng,train,0
eng_train_track_a_02080,"i would be about 10 maybe, anyway i was out with my mom , dad and sister.",0,0,0,1,0,0,['joy'],eng,train,0
eng_train_track_a_00509,"i lowered my head so it fell across my face, a good excuse not to look directly at cody.",0,0,1,0,0,0,['fear'],eng,train,0
eng_train_track_a_02065,my brain's dead weight i'm tryin to get my head straight but i can't figure out which cheerleader i wan na impregnate.,0,0,1,0,1,0,['fear' 'sadness'],eng,train,0
eng_train_track_a_01094,"i'm trying to bribe them, keep them happy, and keep the steam from coming out of my ears, since i don't really know how to photoshop steam out.",1,0,1,0,0,0,['anger' 'fear'],eng,train,0
eng_train_track_a_01221,and soon well need more cabbage and potatoes.,0,0,0,0,0,0,[],eng,train,0
eng_train_track_a_01848,"i needed to come out of a parking lot on the side of the highway and then pull the car up to a high speed so as not to have an accident/annoy highway drivers, so i was pretty nervously sitting there, waiting for the right opportunity.",0,0,1,0,0,0,['fear'],eng,train,0
eng_train_track_a_01955,""" and look in my rear view mirror.",0,0,1,0,0,0,['fear'],eng,train,0
eng_train_track_a_01888,"he bought the first beer, and before it was even gone i had a new full one in my hand!",0,0,0,1,0,0,['joy'],eng,train,0
eng_train_track_a_00962,"amanda and i carried the washer up with no problems but as we sat it down in the street, my back gave out.",0,0,1,0,1,0,['fear' 'sadness'],eng,train,0
eng_train_track_a_01916,this happened like 10 years ago.,0,0,0,0,0,1,['surprise'],eng,train,0
eng_train_track_a_01570,"when i fell asleep in some strangers bedroom at some strangers party, and some stangers held my arms, my legs, and never took `` no '' for an answer, and there we were.",1,0,1,0,1,0,['anger' 'fear' 'sadness'],eng,train,0
eng_train_track_a_01918,"the stranger is left speechless, confused, and strangely proud.",0,0,1,1,0,1,['fear' 'joy' 'surprise'],eng,train,0
eng_train_track_a_02210,we got stuck on pandemonium lol it was so funny.i hurt my foot somehow lol figures now that i have no insuarance and i'm waiting to hear back from mass health.,1,0,1,1,1,0,['anger' 'fear' 'joy' 'sadness'],eng,train,0
eng_train_track_a_01217,"there was the tiniest pause in my head for a moment, as i looked round at her.",0,0,1,0,0,0,['fear'],eng,train,0
eng_train_track_a_01472,"but early in the morning, say five or six, they all fell asleep.",0,0,0,0,0,0,[],eng,train,0
eng_train_track_a_00735,"i could have gone inside, explored more, done so much more but i wasn't accustom to this laid back run down place yet, a part of me still watched every car that drove by and looked over my shoulder every few seconds.",0,0,1,0,1,0,['fear' 'sadness'],eng,train,0
eng_train_track_a_01976,"i whimpered, and my heels started pounding against the hardwood floor.",0,0,1,0,0,0,['fear'],eng,train,0
eng_train_track_a_02581,"however, i get sick to my stomach when i think about the fact that i have been sleeping with my brother for so long.",0,0,1,0,0,0,['fear'],eng,train,0
eng_train_track_a_02759,"like, brain freeze on my leg!!",0,0,1,0,1,1,['fear' 'sadness' 'surprise'],eng,train,0
eng_train_track_a_01554,"the whole time, relentless joy, as though a smile was consistently on my face, and even when it wasn't, it still lay beneath the surface, a laugh always ready to come out.",0,0,0,1,0,0,['joy'],eng,train,0
eng_train_track_a_00443,my stomach is ichy and achy.,0,0,1,0,1,0,['fear' 'sadness'],eng,train,0
eng_train_track_a_02162,"finding them, i whipped one out and put it in my ear, swabbing.",0,0,0,0,0,0,[],eng,train,0
eng_train_track_a_02643,"chapter nine: honestly, when i was alive you could not have paid me to show my face at the community center.",1,0,0,0,1,0,['anger' 'sadness'],eng,train,0
eng_train_track_a_00052,nothing behind me either.,0,0,1,0,0,1,['fear' 'surprise'],eng,train,0
eng_train_track_a_02631,"i'm like amused by the auntie who's holding my arm all the way, and i'm thinking of all the weird pictures i took with yongqing, then i remembered my flying eyebrows, and my smile = & %!",0,0,0,1,0,0,['joy'],eng,train,0
eng_train_track_a_00741,i can even lift my arms above my head.,0,0,0,1,0,0,['joy'],eng,train,0
eng_train_track_a_01255,she lived in the boonies &amp; one night she was getting ready for bed when she glanced out the window &amp; saw a red flicker.,0,0,1,0,0,1,['fear' 'surprise'],eng,train,0
eng_train_track_a_02554,"you name it, i did it.",0,0,0,1,0,0,['joy'],eng,train,0
eng_train_track_a_01852,my disbelief was outstanding.,0,0,0,0,0,1,['surprise'],eng,train,0
eng_train_track_a_00229,apparently the aftermath of the clogged toilet was pretty gruesome.,0,0,1,0,0,1,['fear' 'surprise'],eng,train,0
eng_train_track_a_02749,when it's right under my nose i can't see what's what.,0,0,1,0,0,0,['fear'],eng,train,0
eng_train_track_a_00255,"i'd just started a new character on a different world than i usually play on, then this guy wants to join my party...",0,0,1,1,0,1,['fear' 'joy' 'surprise'],eng,train,0
eng_train_track_a_01338,guys are trying to get in your pants.,1,0,1,0,0,0,['anger' 'fear'],eng,train,0
eng_train_track_a_02696,this will get buried so it is probably for the best.,0,0,0,0,1,0,['sadness'],eng,train,0
eng_train_track_a_00301,"once we got them all back into the room, one little girl ( the youngest of this group ) roughly pushed a little boy who was standing near me ( i was sitting with my legs blocking the doorway ) into the door jamb in her attempt to get out.",0,0,1,0,0,1,['fear' 'surprise'],eng,train,0
eng_train_track_a_00407,her are a few things that went through my head.,0,0,1,0,0,0,['fear'],eng,train,0
eng_train_track_a_00694,and it constantly feels like thoughts are racing through my head.,0,0,1,0,1,0,['fear' 'sadness'],eng,train,0
eng_train_track_a_01964,"this'll probably get buried, but what the hell?",0,0,0,0,0,1,['surprise'],eng,train,0
eng_train_track_a_01962,"i began to start running away again, but i tripped and fell flat on my back.",0,0,1,0,1,0,['fear' 'sadness'],eng,train,0
eng_train_track_a_01514,i stomped my foot in anger.,1,0,0,0,0,0,['anger'],eng,train,0
eng_train_track_a_01373,"bless his heart $ < 3 warnings: smoking, swearing, ridiculous spacing ( apologies ) i leaned thoughtfully against the brick wall outside of the studio, feeling the cold, rugged material of the stone press against my back through the black military blazer i wore, as i took a drag from my cigarette.",0,0,0,0,0,0,[],eng,train,0
eng_train_track_a_02411,this is probably more paranormal than matrix-y but still weird coincidence.,0,0,1,0,0,1,['fear' 'surprise'],eng,train,0
eng_train_track_a_01401,"several hours of that was enough to put me flat on my back, so i took a nice long nap, then just rested for the remainder of the day.",0,0,1,0,0,0,['fear'],eng,train,0
eng_train_track_a_01370,i just sat there panting and wiping tears and mucus off my face.,0,0,1,0,1,0,['fear' 'sadness'],eng,train,0
eng_train_track_a_01735,"total: 80.5 miles ( 10,550 ' ) my legs felt great all week, which is really encouraging considering this is the first week of the taper.",0,0,0,1,0,1,['joy' 'surprise'],eng,train,0
eng_train_track_a_00617,wait around... getting pissed.,1,0,1,0,0,0,['anger' 'fear'],eng,train,0
eng_train_track_a_00005,then the screaming started.,0,0,1,0,1,1,['fear' 'sadness' 'surprise'],eng,train,0
eng_train_track_a_00387,"ah, internet dating, it's a fun world.",0,0,0,1,0,0,['joy'],eng,train,0
eng_train_track_a_01958,"for the first time, i noticed their eyes.",0,0,0,0,0,1,['surprise'],eng,train,0
eng_train_track_a_02364,i told him three things:,0,0,0,0,0,0,[],eng,train,0
eng_train_track_a_00374,and probably murder me.,0,0,1,0,0,0,['fear'],eng,train,0
eng_train_track_a_02016,never trust a fart.,0,0,1,1,0,0,['fear' 'joy'],eng,train,0
eng_train_track_a_01578,echoing cruelly in my ears.,1,0,1,0,1,0,['anger' 'fear' 'sadness'],eng,train,0
eng_train_track_a_00040,"after scratching my head, i headed to the front yard, where there are no trees, on the off chance that something truly weird had caused a limb to plop down on my house.",0,0,1,0,0,1,['fear' 'surprise'],eng,train,0
eng_train_track_a_01048,"still, a creepy happening.",0,0,1,0,0,1,['fear' 'surprise'],eng,train,0
eng_train_track_a_01088,"the first one was far enough ahead that it didn't startle me so much.anyway, for the gruesomely curious, here are some pics of my injuries: my elbow got the worst of it.",1,0,1,0,1,0,['anger' 'fear' 'sadness'],eng,train,0
eng_train_track_a_02751,so now my knee is hyperextended and it hurts like a bitch.,1,0,1,0,1,0,['anger' 'fear' 'sadness'],eng,train,0
eng_train_track_a_02450,things are relatively quiet.,0,0,0,1,0,0,['joy'],eng,train,0
eng_train_track_a_02334,"anyhow, there was this other kid there.",0,0,0,0,0,1,['surprise'],eng,train,0
eng_train_track_a_02471,"it can't be a plane as the lights never move, they just, appear.",0,0,1,0,0,1,['fear' 'surprise'],eng,train,0
eng_train_track_a_00794,"when my back hit the far wall, and the shovel against the wall fell on the dirt, i screamed.",0,0,1,0,1,1,['fear' 'sadness' 'surprise'],eng,train,0
eng_train_track_a_02565,"so, i was ten years old at the time.",0,0,0,0,0,0,[],eng,train,0
eng_train_track_a_00251,it was mutually beneficial.,0,0,0,1,0,0,['joy'],eng,train,0
eng_train_track_a_02547,"they strapped some thing ( yes, that's a technical term ) around my belly that monitors the baby's heartbeat and contractions ( which i was unaware of at the time, but found out about later. )",0,0,1,0,0,0,['fear'],eng,train,0
eng_train_track_a_02454,so i literally slept with michel thomas ' heavily polish-german accented french ringing in my ears.4.,0,0,0,0,0,0,[],eng,train,0
eng_train_track_a_00767,"only one hour of sleep, then 9 hours on my feet.",0,0,1,0,0,0,['fear'],eng,train,0
eng_train_track_a_02608,so i got up and tried him again.,0,0,1,0,0,0,['fear'],eng,train,0
eng_train_track_a_00064,"i did manage to remember to hang out the washing, but only because the annoying beeping sound the washer makes when its finished a cycle finally filtered into my brain and started to irritate me enough that i couldn't ignore it any longer.",1,0,1,0,0,0,['anger' 'fear'],eng,train,0
eng_train_track_a_00119,and throw my hands in the air.,0,0,0,1,0,0,['joy'],eng,train,0
eng_train_track_a_01246,we've never met.,0,0,0,0,0,1,['surprise'],eng,train,0
eng_train_track_a_00486,i would then freeze with fear.,0,0,1,0,0,0,['fear'],eng,train,0
eng_train_track_a_01186,she sat me in the chair and spent a total of 30 seconds looking in my mouth.,0,0,0,0,0,0,[],eng,train,0
eng_train_track_a_00281,threw my underwear away in their kitchen garbage.,0,0,1,0,0,1,['fear' 'surprise'],eng,train,0
eng_train_track_a_00177,they hooked me up to an iv to give me some medicine ( not sure what kind ) and gave me a shot of adrenaline to try to get the swelling in my throat down.,0,0,1,0,0,0,['fear'],eng,train,0
eng_train_track_a_00936,"she hit katahdin, and celebrated.",1,0,0,1,0,0,['anger' 'joy'],eng,train,0
eng_train_track_a_02114,i cannot stay here.,1,0,1,0,1,0,['anger' 'fear' 'sadness'],eng,train,0
eng_train_track_a_01811,how stupid of him.,1,0,0,0,0,0,['anger'],eng,train,0
eng_train_track_a_01021,"i know it is true, for my own glasses have been gone for over 16 years, and i know what to do and what not to do in order to have my eyesight relax, my vision stay sharp, and my eyes happy.",0,0,0,1,0,0,['joy'],eng,train,0
eng_train_track_a_02148,every boarding school has some odd tradition or skill students must undertake before graduation.,0,0,0,0,0,1,['surprise'],eng,train,0
eng_train_track_a_01282,"the manager was at the till beside the front door, and the rest of us were mopping upstairs, cleaning tables and giving the staff toilet and stock room the once over.",0,0,0,0,0,0,[],eng,train,0
eng_train_track_a_00046,i definitely ended up with a plastic burn on my elbow.,0,0,1,0,0,0,['fear'],eng,train,0
eng_train_track_a_02093,ugh so today i found out that some people have been talking shit abou tme behind my back.,1,0,1,0,1,1,['anger' 'fear' 'sadness' 'surprise'],eng,train,0
eng_train_track_a_00008,my stomach even started giving me fits.,0,0,1,0,1,0,['fear' 'sadness'],eng,train,0
eng_train_track_a_02706,see my thumbs.,0,0,0,0,0,0,[],eng,train,0
eng_train_track_a_01173,we cleaned up another 15-20 litres of wine and finished up by the boys lifting the flagon to my mouth while i sculled the last litre or so.,0,0,0,1,0,0,['joy'],eng,train,0
eng_train_track_a_01569,i was on a (admittedly silly) adrenaline rush.,0,0,1,1,0,1,['fear' 'joy' 'surprise'],eng,train,0
eng_train_track_a_00257,his last days were spent in a cone.,0,0,0,0,1,0,['sadness'],eng,train,0
eng_train_track_a_02567,all of the sudden i hear both of them scream bloody murder.,0,0,1,0,0,1,['fear' 'surprise'],eng,train,0
eng_train_track_a_00265,i stopped a couple times to stretch out my calves and quads.,0,0,0,0,0,0,[],eng,train,0
eng_train_track_a_02331,but he intrigued me.,0,0,0,1,0,1,['joy' 'surprise'],eng,train,0
eng_train_track_a_02066,"i get cramps and aches in my shoulders when i'm even minutely out of position, just imagine what it's going to be like with a completely different seating system, not to mention an entirely new drive mechanism.",0,0,1,0,0,0,['fear'],eng,train,0
eng_train_track_a_00086,we locked our door and kept our lights on the whole night and just watched movies until dawn.,0,0,1,0,0,0,['fear'],eng,train,0
eng_train_track_a_01694,anyway it was weird.,0,0,1,0,0,1,['fear' 'surprise'],eng,train,0
eng_train_track_a_01650,"i went to the clinic and got looked over and to my amazement, after they swabbed my throat, they didn't find any strep bacteria, even though my throat is really red.",0,0,1,0,0,1,['fear' 'surprise'],eng,train,0
eng_train_track_a_01884,which means i was not picking up my feet!,0,0,0,0,0,0,[],eng,train,0
eng_train_track_a_02103,"finally facing life responsibilities again, but my head still was on vacation.",0,0,1,0,0,0,['fear'],eng,train,0
eng_train_track_a_00202,"not moving, not menacing.",0,0,1,0,0,0,['fear'],eng,train,0
eng_train_track_a_01531,"in the single worst moment of 21.5 years, six martinis errupted from my mouth.",0,0,1,0,1,0,['fear' 'sadness'],eng,train,0
eng_train_track_a_01168,"the room was small but brightly lit and i sat on a two-seater couch facing the counselor across the room, as opposed to lounging on my back while staring at the ceiling with the lights dimmed.so what did i learn?",0,0,0,0,0,0,[],eng,train,0
eng_train_track_a_01949,"there's so much going through my head now, but somethings just can't be said.",0,0,1,0,1,0,['fear' 'sadness'],eng,train,0
eng_train_track_a_00567,i shall now write an abridged version of the second chapter: chapter 2 i blinked and rubbed my eyes.,0,0,0,0,0,0,[],eng,train,0
eng_train_track_a_00932,"it never freaked me out, because it happened enough as i was small and i got used to it.",0,0,1,0,0,0,['fear'],eng,train,0
eng_train_track_a_01679,brighter than if you turned on every light in the room and even brighter than during the day time with the shades up.,0,0,0,0,0,1,['surprise'],eng,train,0
eng_train_track_a_01987,3rd i really don't know... any of the main characters really..,0,0,1,0,0,0,['fear'],eng,train,0
eng_train_track_a_02604,the sun hung high in the deep blue sky as a slight ocean breeze ticked my face.,0,0,0,1,0,0,['joy'],eng,train,0
eng_train_track_a_01408,it's too late.,0,0,1,0,1,0,['fear' 'sadness'],eng,train,0
eng_train_track_a_00093,"needless to say, i turned her down.",0,0,0,0,0,0,[],eng,train,0
eng_train_track_a_00904,my arms start getting numb and achy and no way to lie makes them stop.,0,0,1,0,1,0,['fear' 'sadness'],eng,train,0
eng_train_track_a_01859,"i stopped for water at the rest stops and got doused with a hose, which was very pleasant except my shoes got drenched so i was running with heavy sponges on my feet for the last two miles.",0,0,1,0,0,0,['fear'],eng,train,0
eng_train_track_a_01609,this sucks...sorry dude.,1,0,0,0,1,0,['anger' 'sadness'],eng,train,0
eng_train_track_a_02492,"my grandma used to do a ""magic trick"" that to this day i can't explain.",0,0,0,1,0,1,['joy' 'surprise'],eng,train,0
deu_train_track_a_01415,"die schlimmste vielleicht ein paar monate, mittel- / leichtschlimm - ca. 20-25 jahre. glücklich und zufrieden bin trotzdem nicht.",0,0,0,0,1,0,['sadness'],deu,train,0
deu_train_track_a_00414,"ma gewöhnt sich dran 😉. aber danke, dass du dir gedanken machst! liebe grüße, nicki 😙👋",0,0,0,1,0,0,['joy'],deu,train,0
deu_train_track_a_00002,"du warst bestimmt schon in verschiedenen ländern, wenn du dich sowas einfach traust. wo würdest du die erfahrung im irak auf einer rangliste einordnen? wie war das essen? wie viel geld hast du ausgegeben? waren viele touristen unterwegs?",0,0,0,0,0,0,[],deu,train,0
deu_train_track_a_01990,puhh das klingt echt nach viel arbeit. da gehe ich lieber weiter die todesanzeigen durch und streiche diejenigen aus dem telefonbuch.,0,0,0,0,1,0,['sadness'],deu,train,0
deu_train_track_a_00659,"in deutschland rechte bekämpfen und in israel eine rechts-religiöse regierung unterstützen, genau mein humor 👏😂",1,0,0,0,0,0,['anger'],deu,train,0
